0.0547521114349,	1,	1.64326941967,	0.253332734108,	-2.72300457954,	-6.26389408112,	6.24006080627,	-2.44232344627,	-0.499836176634,	1.92558419704,	-0.139797851443,	0.000206977128983,	0.00255267531611,	-0.0283211022615
0.0635991096497,	1,	1.64318144321,	0.253564804792,	-2.72288894653,	-11.2750091553,	11.2321090698,	-4.39618206024,	-0.496649622917,	1.92659926414,	-0.13047799468,	0.000201988965273,	0.000414002803154,	-0.0224457606673
0.076112985611,	3,	1.64316916466,	0.253961861134,	-2.72273373604,	-14.8423261642,	15.2251472473,	-5.82196807861,	-0.493463039398,	1.91644859314,	-0.135137915611,	0.00123570486903,	0.00144260795787,	-0.0374836139381
0.0874071121216,	3,	1.64312231541,	0.254346966743,	-2.72246479988,	-17.6961803436,	18.4195785522,	-6.96259689331,	-0.499380946159,	1.91746366024,	-0.132031291723,	0.00120592862368,	0.00140784634277,	-0.0324260741472
0.100289106369,	3,	1.64310574532,	0.254323124886,	-2.72252392769,	-20.1263618469,	21.1105690002,	-7.73864269257,	-0.500291407108,	1.91644859314,	-0.138244539499,	-0.00090029463172,	0.000335341203026,	0.00262845586985
0.111606121063,	3,	1.64301502705,	0.253803133965,	-2.72270774841,	-22.0705070496,	23.2633628845,	-8.3594789505,	-0.496194392443,	1.91441845894,	-0.132031291723,	-0.000878602266312,	-0.000711320433766,	0.0420312024653
0.123695135117,	3,	1.64301776886,	0.253300905228,	-2.72291707993,	-23.6256732941,	25.1231803894,	-8.99447441101,	-0.497560054064,	1.92050886154,	-0.139797851443,	0.000181149691343,	0.000344400934409,	0.0410184040666
0.135783910751,	3,	1.64301633835,	0.253047913313,	-2.72306394577,	-24.8698062897,	26.6110343933,	-9.50247097015,	-0.498925745487,	1.93268966675,	-0.139797851443,	0.000176783651114,	0.00033610209357,	0.0192583836615
0.147680044174,	3,	1.64293515682,	0.253108769655,	-2.72300386429,	-25.717912674,	27.8014526367,	-9.90889358521,	-0.496194392443,	1.92355406284,	-0.132031291723,	-0.000866059213877,	0.000328003254253,	-0.00717020127922
0.161068916321,	3,	1.64291071892,	0.253514528275,	-2.72287869453,	-26.396396637,	28.7537879944,	-10.2340316772,	-0.496649622917,	1.92253899574,	-0.135137915611,	0.000193390995264,	0.00135868065991,	-0.03607769683
0.171930074692,	3,	1.6428681612,	0.253944963217,	-2.72271442413,	-27.3807601929,	29.5162563324,	-10.6314439774,	-0.495739161968,	1.92152392864,	-0.132031291723,	0.00122731178999,	0.00132594141178,	-0.039362680167
0.183424949646,	3,	1.64284694195,	0.25408783555,	-2.7226498127,	-28.1682510376,	30.1262302399,	-10.9493732452,	-0.498015284538,	1.92558419704,	-0.136691227555,	0.000159155577421,	-0.000783171271905,	-0.014526816085
0.196609020233,	3,	1.64280903339,	0.253753691912,	-2.72267436981,	-28.6510677338,	30.6133403778,	-11.0663642883,	-0.498470515013,	1.91949379444,	-0.136691227555,	-0.000883262604475,	-0.000764299649745,	0.0273664724082
0.207359075546,	3,	1.64278709888,	0.253118693829,	-2.72279715538,	-29.0373210907,	31.0030288696,	-11.1599569321,	-0.494828701019,	1.91847872734,	-0.138244539499,	-0.000861980021,	0.000292698328849,	0.0505944043398
0.2199010849,	3,	1.64277684689,	0.252729415894,	-2.7228000164,	-29.199098587,	31.3159160614,	-11.3722362518,	-0.496649622917,	1.92659926414,	-0.139797851443,	-0.000841207802296,	-0.000752935768105,	0.0306808035821
0.231838941574,	3,	1.64275324345,	0.252728849649,	-2.72260737419,	-29.3285198212,	31.5662269592,	-11.5420589447,	-0.495283931494,	1.92862939835,	-0.135137915611,	0.00125622749329,	0.000303788401652,	-0.00329308863729
0.244318008423,	3,	1.64274322987,	0.253031939268,	-2.72270846367,	-29.579334259,	31.7633342743,	-11.2657546997,	-0.497104823589,	1.92152392864,	-0.136691227555,	0.000187374651432,	0.000296468206216,	-0.0260625239462
0.255692005157,	3,	1.64272391796,	0.253491491079,	-2.72300195694,	-29.7799854279,	31.9210205078,	-11.044711113,	-0.498015284538,	1.92050886154,	-0.135137915611,	0.00018285959959,	0.00132790557109,	-0.0389360636473
0.268770933151,	3,	1.64263737202,	0.253763526678,	-2.72332572937,	-29.9407329559,	31.7750072479,	-11.0033607483,	-0.495739161968,	1.92050886154,	-0.128924682736,	0.000178452581167,	0.00129590777215,	-0.0255348719656
