0.0685639381409,	0,	-1.60407686234,	-0.728174269199,	1.06140780449,	32.4546470642,	-24.5709133148,	-14.7861099243,	3.22242832184,	-3.57775592804,	-0.127371370792,	-0.000762071460485,	-0.00175758334808,	0.00465152133256
0.0794110298157,	0,	-1.60412943363,	-0.728142023087,	1.06191241741,	32.3488693237,	-24.5998783112,	-14.8826398849,	3.22831225395,	-3.61002039909,	-0.127371370792,	0.000302113592625,	-0.00175737158861,	0.00465096067637
0.092698097229,	0,	-1.60413169861,	-0.728388130665,	1.06288635731,	32.2642478943,	-24.6230506897,	-14.9598636627,	3.23615765572,	-3.55983138084,	-0.121158130467,	0.000302076339722,	0.000371033907868,	-0.00492647197098
0.103754043579,	0,	-1.60416054726,	-0.728527605534,	1.06340181828,	32.3438262939,	-24.5068759918,	-14.7478580475,	3.23419618607,	-3.58492588997,	-0.124264754355,	0.000302039086819,	-0.000693107664119,	-0.00279768463224
0.116373062134,	0,	-1.60420525074,	-0.728568375111,	1.06357371807,	32.4074897766,	-24.413936615,	-14.578253746,	3.24204158783,	-3.61002039909,	-0.125818058848,	-0.000762090086937,	-0.000693024136126,	0.00145903974771
0.127336978912,	0,	-1.60429298878,	-0.728717446327,	1.06395244598,	32.4583473206,	-24.4741630554,	-14.7163801193,	3.24204158783,	-3.58851075172,	-0.135137915611,	0.000302094966173,	-0.00069294066634,	-0.00279752351344
0.141680955887,	0,	-1.60431981087,	-0.728842496872,	1.06444239616,	32.4990310669,	-24.5223445892,	-14.8268814087,	3.23419618607,	-3.57417106628,	-0.124264754355,	0.00030205771327,	-0.000692857196555,	0.000395104289055
0.151664972305,	0,	-1.60434627533,	-0.728792071342,	1.06467831135,	32.2372512817,	-24.4265804291,	-14.6414213181,	3.23615765572,	-3.62077498436,	-0.125818058848,	0.000302020460367,	-0.000692773726769,	0.00465144403279
0.16548705101,	0,	-1.60437130928,	-0.728849411011,	1.06500780582,	32.0278282166,	-24.3499679565,	-14.4930524826,	3.24008011818,	-3.61360526085,	-0.127371370792,	0.0013660825789,	-0.000692690256983,	-0.00173369795084
0.175686120987,	0,	-1.604372859,	-0.728970110416,	1.06560242176,	32.0072898865,	-24.5597038269,	-14.6472463608,	3.22831225395,	-3.59568047523,	-0.124264754355,	0.000301819294691,	0.00143558694981,	-0.00598987657577
0.187083959579,	0,	-1.60436964035,	-0.729075551033,	1.06652343273,	31.9908599854,	-24.7274932861,	-14.7706012726,	3.23419618607,	-3.58851075172,	-0.119604825974,	0.000301782041788,	-0.000692779780366,	-0.00173276755959
0.203982114792,	0,	-1.60439217091,	-0.729144454002,	1.06726777554,	31.9779148102,	-24.5905647278,	-14.5964221954,	3.24008011818,	-3.58492588997,	-0.124264754355,	-0.000762347131968,	0.000371400557924,	0.00358792580664
0.211345911026,	0,	-1.60440516472,	-0.729270100594,	1.06785738468,	31.9675598145,	-24.4810218811,	-14.4570789337,	3.23615765572,	-3.57775592804,	-0.124264754355,	0.000301837921143,	0.000371355796233,	-0.000668893568218
0.226493120193,	0,	-1.60443842411,	-0.72935205698,	1.06816363335,	32.2535743713,	-24.5286998749,	-14.482088089,	3.22635102272,	-3.58134078979,	-0.125818058848,	0.00030180066824,	-0.000692785833962,	-0.000668812543154
0.235453128815,	0,	-1.60444772243,	-0.729264736176,	1.06807672977,	32.4823875427,	-24.5668411255,	-14.5020952225,	3.21458315849,	-3.60643529892,	-0.122711442411,	0.000301763415337,	-0.000692702364177,	0.00465175230056
0.249830961227,	0,	-1.60442984104,	-0.729238092899,	1.06828820705,	32.0766105652,	-24.5988922119,	-14.3806180954,	3.22046709061,	-3.61002039909,	-0.119604825974,	0.000301726162434,	0.000371477974113,	0.000394804403186
0.259366989136,	0,	-1.60437071323,	-0.729392766953,	1.06900179386,	31.7519893646,	-24.6245326996,	-14.2834367752,	3.23615765572,	-3.58492588997,	-0.113391585648,	0.000301688909531,	0.00143553013913,	-0.00492572784424
0.271740913391,	0,	-1.60433137417,	-0.729481816292,	1.06932795048,	32.0812454224,	-24.5069255829,	-14.344121933,	3.22242832184,	-3.57417106628,	-0.116498202085,	0.000301651656628,	0.00143535714597,	-0.000668746419251
0.2834379673,	0,	-1.60430943966,	-0.729502618313,	1.06929266453,	32.3446502686,	-24.4128398895,	-14.3926696777,	3.21654462814,	-3.58134078979,	-0.119604825974,	0.000301614403725,	0.0014351841528,	0.00145952776074
0.295776128769,	0,	-1.6043074131,	-0.729507923126,	1.0693154335,	32.4079246521,	-24.6108703613,	-14.4295873642,	3.22635102272,	-3.60285043716,	-0.124264754355,	0.00136567652225,	0.00037091440754,	0.000395255163312
0.307462930679,	0,	-1.60431528091,	-0.729553580284,	1.06949627399,	32.4585418701,	-24.7692947388,	-14.4591207504,	3.21262192726,	-3.57775592804,	-0.122711442411,	0.000301413238049,	0.000370869704057,	-0.000668888911605
0.319839000702,	0,	-1.6043087244,	-0.729476213455,	1.06929993629,	32.6463356018,	-24.7603187561,	-14.3463420868,	3.21262192726,	-3.59926557541,	-0.121158130467,	0.000301375985146,	0.000370825000573,	0.00465167593211
0.332124948502,	0,	-1.60428917408,	-0.729545116425,	1.0690908432,	32.7965698242,	-24.7531394958,	-14.2561197281,	3.21654462814,	-3.57417106628,	-0.119604825974,	0.000301338732243,	0.00143487728201,	-0.000669368542731
0.343882083893,	0,	-1.6042226553,	-0.729627966881,	1.06866538525,	32.916759491,	-24.7473945618,	-14.1839418411,	3.21458315849,	-3.58492588997,	-0.113391585648,	0.00136540085077,	0.00143470428884,	-0.00492567569017
