[17:55:38] UDP debugger initialized OK
[17:55:38] Initialized telemetry.
[17:55:39] Initialized sensor.
[17:55:39] Initialized chute pin.
[17:55:39] Entering program loop.
[17:55:39] Sent heartbeat (0)
[17:55:40] Sent heartbeat (0)
[17:55:41] Sent heartbeat (0)
[17:55:42] Sent heartbeat (0)
[17:55:43] Sent heartbeat (0)
[17:55:44] Sent heartbeat (0)
[17:55:45] Sent heartbeat (0)
[17:55:46] Sent heartbeat (0)
[17:55:47] Sent heartbeat (0)
[17:55:48] Sent heartbeat (0)
[17:55:49] Sent heartbeat (0)
[17:55:50] Sent heartbeat (0)
[17:55:51] Sent heartbeat (0)
[17:55:52] Sent heartbeat (0)
[17:55:53] Sent heartbeat (0)
[17:55:54] Sent heartbeat (0)
[17:55:55] Sent heartbeat (0)
[17:55:56] Sent heartbeat (0)
[17:55:57] Sent heartbeat (0)
[17:55:58] Sent heartbeat (0)
[17:55:59] Sent heartbeat (0)
[17:56:00] Sent heartbeat (0)
[17:56:01] Sent heartbeat (0)
[17:56:02] Sent heartbeat (0)
[17:56:03] Sent heartbeat (0)
[17:56:04] Sent heartbeat (0)
[17:56:05] Sent heartbeat (0)
[17:56:06] Sent heartbeat (0)
[17:56:07] Sent heartbeat (0)
[17:56:08] Sent heartbeat (0)
[17:56:09] Sent heartbeat (0)
[17:56:10] Sent heartbeat (0)
[17:56:11] Sent heartbeat (0)
[17:56:12] Sent heartbeat (0)
[17:56:13] Sent heartbeat (0)
[17:56:14] Sent heartbeat (0)
[17:56:15] Sent heartbeat (0)
[17:56:16] Sent heartbeat (0)
[17:56:17] Sent heartbeat (0)
[17:56:18] Sent heartbeat (0)
[17:56:19] Sent heartbeat (0)
[17:56:20] Sent heartbeat (0)
[17:56:21] Sent heartbeat (0)
[17:56:22] Sent heartbeat (0)
[17:56:23] Sent heartbeat (0)
[17:56:24] Sent heartbeat (0)
[17:56:25] Sent heartbeat (0)
[17:56:26] Sent heartbeat (0)
[17:56:27] Sent heartbeat (0)
[17:56:28] Sent heartbeat (0)
[17:56:29] Sent heartbeat (0)
[17:56:30] Sent heartbeat (0)
[17:56:31] Sent heartbeat (0)
[17:56:32] Sent heartbeat (0)
[17:56:33] Sent heartbeat (0)
[17:56:34] Sent heartbeat (0)
[17:56:35] Sent heartbeat (0)
[17:56:36] Sent heartbeat (0)
[17:56:37] Sent heartbeat (0)
[17:56:38] Sent heartbeat (0)
[17:56:39] Sent heartbeat (0)
[17:56:40] Sent heartbeat (0)
[17:56:41] Sent heartbeat (0)
[17:56:42] Sent heartbeat (0)
[17:56:43] Sent heartbeat (0)
[17:56:44] Sent heartbeat (0)
[17:56:45] Sent heartbeat (0)
[17:56:46] Sent heartbeat (0)
[17:56:47] Sent heartbeat (0)
[17:56:48] Sent heartbeat (0)
[17:56:49] Sent heartbeat (0)
[17:56:50] Sent heartbeat (0)
[17:56:51] Sent heartbeat (0)
[17:56:52] Sent heartbeat (0)
[17:56:53] Sent heartbeat (0)
[17:56:54] Sent heartbeat (0)
[17:56:55] Sent heartbeat (0)
[17:56:56] Sent heartbeat (0)
[17:56:57] Sent heartbeat (0)
[17:56:58] Sent heartbeat (0)
[17:56:59] Sent heartbeat (0)
[17:57:00] Sent heartbeat (0)
[17:57:01] Sent heartbeat (0)
[17:57:02] Sent heartbeat (0)
[17:57:03] Sent heartbeat (0)
[17:57:04] Sent heartbeat (0)
[17:57:05] Sent heartbeat (0)
[17:57:06] Sent heartbeat (0)
[17:57:07] Sent heartbeat (0)
[17:57:08] Sent heartbeat (0)
[17:57:09] Sent heartbeat (0)
[17:57:10] Sent heartbeat (0)
[17:57:11] Sent heartbeat (0)
[17:57:12] Sent heartbeat (0)
[17:57:13] Sent heartbeat (0)
[17:57:14] Sent heartbeat (0)
[17:57:15] Sent heartbeat (0)
[17:57:16] Sent heartbeat (0)
[17:57:17] Sent heartbeat (0)
[17:57:18] Sent heartbeat (0)
[17:57:19] Sent heartbeat (0)
[17:57:20] Sent heartbeat (0)
[17:57:21] Sent heartbeat (0)
[17:57:22] Sent heartbeat (0)
[17:57:23] Sent heartbeat (0)
[17:57:24] Sent heartbeat (0)
[17:57:25] Sent heartbeat (0)
[17:57:26] Sent heartbeat (0)
[17:57:27] Sent heartbeat (0)
[17:57:27] New state read (3).
[17:57:27] Armed
[17:57:27] Started logging
[17:57:27] [0.0629270076752] Data read
[17:57:27] [0.0746960639954] Data read
[17:57:27] [0.0867600440979] Data read
[17:57:27] [0.0987479686737] Data read
[17:57:27] [0.110800027847] Data read
[17:57:27] [0.122162103653] Data read
[17:57:27] [0.13490986824] Data read
[17:57:27] [0.146308898926] Data read
[17:57:27] [0.158564090729] Data read
[17:57:27] [0.170079946518] Data read
[17:57:27] [0.18280506134] Data read
[17:57:27] [0.194344997406] Data read
[17:57:27] [0.206779956818] Data read
[17:57:27] [0.217926979065] Data read
[17:57:27] [0.230383872986] Data read
[17:57:27] [0.242394924164] Data read
[17:57:27] [0.254623889923] Data read
[17:57:27] [0.266439914703] Data read
[17:57:27] [0.278459072113] Data read
[17:57:27] [0.289911985397] Data read
[17:57:27] [0.302556991577] Data read
[17:57:27] [0.314080953598] Data read
[17:57:27] [0.326696872711] Data read
[17:57:27] [0.338037967682] Data read
[17:57:27] [0.350116014481] Data read
[17:57:27] [0.362174987793] Data read
[17:57:27] [0.374403953552] Data read
[17:57:27] [0.385802030563] Data read
[17:57:27] [0.398438930511] Data read
[17:57:27] [0.409801959991] Data read
[17:57:27] [0.422399044037] Data read
[17:57:27] [0.43397808075] Data read
[17:57:27] [0.445950031281] Data read
[17:57:27] [0.458960056305] Data read
[17:57:27] [0.47035908699] Data read
[17:57:27] [0.4818110466] Data read
[17:57:27] [0.493901968002] Data read
[17:57:28] [0.505711078644] Data read
[17:57:28] [0.517791986465] Data read
[17:57:28] [0.529803991318] Data read
[17:57:28] [0.54173207283] Data read
[17:57:28] [0.553888082504] Data read
[17:57:28] [0.565739870071] Data read
[17:57:28] [0.577805042267] Data read
[17:57:28] [0.589781045914] Data read
[17:57:28] [0.601548910141] Data read
[17:57:28] [0.613811016083] Data read
[17:57:28] [0.625259876251] Data read
[17:57:28] [0.637868881226] Data read
[17:57:28] [0.649343967438] Data read
[17:57:28] [0.661633014679] Data read
[17:57:28] [0.673719882965] Data read
[17:57:28] [0.685752868652] Data read
[17:57:28] [0.697272062302] Data read
[17:57:28] [0.709570884705] Data read
[17:57:28] [0.721539020538] Data read
[17:57:28] [0.733722925186] Data read
[17:57:28] [0.745125055313] Data read
[17:57:28] [0.757665872574] Data read
[17:57:28] [0.769353866577] Data read
[17:57:28] [0.781423091888] Data read
[17:57:28] [0.793453931808] Data read
[17:57:28] [0.809866905212] Data read
[17:57:28] [0.817295074463] Data read
[17:57:28] [0.829222917557] Data read
[17:57:28] [0.841196060181] Data read
[17:57:28] [0.853237867355] Data read
[17:57:28] [0.865134000778] Data read
[17:57:28] [0.877145051956] Data read
[17:57:28] [0.889132022858] Data read
[17:57:28] [0.901160001755] Data read
[17:57:28] [0.913243055344] Data read
[17:57:28] Sent heartbeat (3)
[17:57:28] [0.925302028656] Data read
[17:57:28] [0.936798095703] Data read
[17:57:28] [0.949363946915] Data read
[17:57:28] [0.962065935135] Data read
[17:57:28] [0.972971916199] Data read
[17:57:28] [0.98513007164] Data read
[17:57:28] [0.997144937515] Data read
[17:57:28] [1.00864100456] Data read
[17:57:28] [1.02131891251] Data read
[17:57:28] [1.03285694122] Data read
[17:57:28] [1.04502391815] Data read
[17:57:28] [1.05638694763] Data read
[17:57:28] [1.06883406639] Data read
[17:57:28] [1.08092904091] Data read
[17:57:28] [1.09295988083] Data read
[17:57:28] [1.10489392281] Data read
[17:57:28] [1.1170270443] Data read
[17:57:28] [1.12853503227] Data read
[17:57:28] [1.14115190506] Data read
[17:57:28] [1.15276288986] Data read
[17:57:28] [1.16465687752] Data read
[17:57:28] [1.17625594139] Data read
[17:57:28] [1.18895196915] Data read
[17:57:28] [1.20041704178] Data read
[17:57:28] [1.21263694763] Data read
[17:57:28] [1.22419095039] Data read
[17:57:28] [1.23687195778] Data read
[17:57:28] [1.24818205833] Data read
[17:57:28] [1.26190090179] Data read
[17:57:28] [1.27222895622] Data read
[17:57:28] [1.28440093994] Data read
[17:57:28] [1.29642796516] Data read
[17:57:28] [1.30850887299] Data read
[17:57:28] [1.32025694847] Data read
[17:57:28] [1.33230495453] Data read
[17:57:28] [1.34443902969] Data read
[17:57:28] [1.3563990593] Data read
[17:57:28] [1.36813807487] Data read
[17:57:28] [1.38030600548] Data read
[17:57:28] [1.39224886894] Data read
[17:57:28] [1.40450501442] Data read
[17:57:28] [1.41595697403] Data read
[17:57:28] [1.42857789993] Data read
[17:57:28] [1.44000506401] Data read
[17:57:28] [1.45205807686] Data read
[17:57:28] [1.46411800385] Data read
[17:57:28] [1.47617602348] Data read
