[02:06:01] Initialized telemetry.
[02:06:02] Initialized sensor.
[02:06:02] Initialized chute pin.
[02:06:02] Entering program loop.
[02:06:02] Sent heartbeat (0)
[02:06:03] Sent heartbeat (0)
[02:06:04] Sent heartbeat (0)
[02:06:05] Sent heartbeat (0)
[02:06:06] Sent heartbeat (0)
[02:06:07] Sent heartbeat (0)
[02:06:08] Sent heartbeat (0)
[02:06:09] Sent heartbeat (0)
[02:06:10] Sent heartbeat (0)
[02:06:11] Sent heartbeat (0)
[02:06:12] Sent heartbeat (0)
[02:06:13] Sent heartbeat (0)
[02:06:14] Sent heartbeat (0)
[02:06:15] Sent heartbeat (0)
[02:06:16] Sent heartbeat (0)
[02:06:17] Sent heartbeat (0)
[02:06:18] Sent heartbeat (0)
[02:06:19] Sent heartbeat (0)
[02:06:20] Sent heartbeat (0)
[02:06:21] Sent heartbeat (0)
[02:06:22] Sent heartbeat (0)
[02:06:23] Sent heartbeat (0)
[21:29:11] Sent heartbeat (0)
[21:29:12] Sent heartbeat (0)
[21:29:13] Sent heartbeat (0)
[21:29:14] Sent heartbeat (0)
[21:29:15] Sent heartbeat (0)
[21:29:16] Sent heartbeat (0)
[21:29:17] Sent heartbeat (0)
[21:29:18] Sent heartbeat (0)
[21:29:19] Sent heartbeat (0)
[21:29:20] Sent heartbeat (0)
[21:29:21] Sent heartbeat (0)
[21:29:22] Sent heartbeat (0)
[21:29:23] Sent heartbeat (0)
[21:29:24] Sent heartbeat (0)
[21:29:25] Sent heartbeat (0)
[21:29:26] Sent heartbeat (0)
[21:29:27] Sent heartbeat (0)
[21:29:28] Sent heartbeat (0)
[21:29:30] Sent heartbeat (0)
[21:29:31] Sent heartbeat (0)
[21:29:32] Sent heartbeat (0)
[21:29:33] Sent heartbeat (0)
[21:29:34] Sent heartbeat (0)
[21:29:35] Sent heartbeat (0)
[21:29:36] Sent heartbeat (0)
[21:29:37] Sent heartbeat (0)
[21:29:38] Sent heartbeat (0)
[21:29:39] Sent heartbeat (0)
[21:29:40] Sent heartbeat (0)
[21:29:41] Sent heartbeat (0)
[21:29:42] Sent heartbeat (0)
[21:29:43] Sent heartbeat (0)
[21:29:44] Sent heartbeat (0)
[21:29:45] Sent heartbeat (0)
[21:29:46] Sent heartbeat (0)
[21:29:47] Sent heartbeat (0)
[21:29:48] Sent heartbeat (0)
[21:29:49] Sent heartbeat (0)
[21:29:50] Sent heartbeat (0)
[21:29:51] Sent heartbeat (0)
[21:29:52] Sent heartbeat (0)
[21:29:53] Sent heartbeat (0)
[21:29:54] Sent heartbeat (0)
[21:29:55] Sent heartbeat (0)
[21:29:56] Sent heartbeat (0)
[21:29:57] Sent heartbeat (0)
[21:29:58] Sent heartbeat (0)
[21:29:59] Sent heartbeat (0)
[21:30:00] Sent heartbeat (0)
[21:30:01] Sent heartbeat (0)
[21:30:02] Sent heartbeat (0)
[21:30:03] Sent heartbeat (0)
[21:30:04] Sent heartbeat (0)
[21:30:05] Sent heartbeat (0)
[21:30:06] Sent heartbeat (0)
[21:30:07] Sent heartbeat (0)
[21:30:08] Sent heartbeat (0)
[21:30:09] Sent heartbeat (0)
[21:30:10] Sent heartbeat (0)
[21:30:11] Sent heartbeat (0)
[21:30:12] Sent heartbeat (0)
[21:30:13] Sent heartbeat (0)
[21:30:14] Sent heartbeat (0)
[21:30:15] Sent heartbeat (0)
[21:30:16] Sent heartbeat (0)
[21:30:17] Sent heartbeat (0)
[21:30:18] Sent heartbeat (0)
[21:30:19] Sent heartbeat (0)
[21:30:20] Sent heartbeat (0)
[21:30:21] Sent heartbeat (0)
[21:30:22] Sent heartbeat (0)
[21:30:23] Sent heartbeat (0)
[21:30:24] Sent heartbeat (0)
[21:30:25] Sent heartbeat (0)
[21:30:26] Sent heartbeat (0)
[21:30:27] Sent heartbeat (0)
[21:30:28] Sent heartbeat (0)
[21:30:29] Sent heartbeat (0)
[21:30:30] Sent heartbeat (0)
[21:30:31] Sent heartbeat (0)
[21:30:32] Sent heartbeat (0)
[21:30:33] Sent heartbeat (0)
[21:30:34] Sent heartbeat (0)
[21:30:35] Sent heartbeat (0)
[21:30:36] Sent heartbeat (0)
[21:30:37] Sent heartbeat (0)
[21:30:38] Sent heartbeat (0)
[21:30:39] Sent heartbeat (0)
[21:30:40] Sent heartbeat (0)
[21:30:41] Sent heartbeat (0)
[21:30:42] Sent heartbeat (0)
[21:30:43] Sent heartbeat (0)
[21:30:44] Sent heartbeat (0)
[21:30:45] Sent heartbeat (0)
[21:30:46] Sent heartbeat (0)
[21:30:47] Sent heartbeat (0)
[21:30:48] Sent heartbeat (0)
[21:30:49] Sent heartbeat (0)
[21:30:50] Sent heartbeat (0)
[21:30:51] Sent heartbeat (0)
[21:30:52] Sent heartbeat (0)
[21:30:53] Sent heartbeat (0)
[21:30:54] Sent heartbeat (0)
[21:30:55] Sent heartbeat (0)
[21:30:56] Sent heartbeat (0)
[21:30:57] Sent heartbeat (0)
[21:30:58] Sent heartbeat (0)
[21:30:59] Sent heartbeat (0)
[21:31:00] Sent heartbeat (0)
[21:31:01] Sent heartbeat (0)
[21:31:02] Sent heartbeat (0)
[21:31:03] Sent heartbeat (0)
[21:31:04] Sent heartbeat (0)
[21:31:05] Sent heartbeat (0)
[21:31:06] Sent heartbeat (0)
[21:31:07] Sent heartbeat (0)
[21:31:08] Sent heartbeat (0)
[21:31:09] Sent heartbeat (0)
[21:31:10] Sent heartbeat (0)
[21:31:11] Sent heartbeat (0)
[21:31:12] Sent heartbeat (0)
[21:31:13] Sent heartbeat (0)
[21:31:14] Sent heartbeat (0)
[21:31:15] Sent heartbeat (0)
[21:31:16] Sent heartbeat (0)
[21:31:17] Sent heartbeat (0)
[21:31:18] Sent heartbeat (0)
[21:31:19] Sent heartbeat (0)
[21:31:20] Sent heartbeat (0)
[21:31:21] Sent heartbeat (0)
[21:31:22] Sent heartbeat (0)
[21:31:23] Sent heartbeat (0)
[21:31:24] Sent heartbeat (0)
[21:31:25] Sent heartbeat (0)
[21:31:26] Sent heartbeat (0)
[21:31:27] Sent heartbeat (0)
[21:31:28] Sent heartbeat (0)
[21:31:29] Sent heartbeat (0)
[21:31:30] Sent heartbeat (0)
[21:31:31] Sent heartbeat (0)
[21:31:32] Sent heartbeat (0)
[21:31:33] Sent heartbeat (0)
[21:31:34] Sent heartbeat (0)
[21:31:35] Sent heartbeat (0)
[21:31:36] Sent heartbeat (0)
[21:31:37] Sent heartbeat (0)
[21:31:38] Sent heartbeat (0)
[21:31:39] Sent heartbeat (0)
[21:31:40] Sent heartbeat (0)
[21:31:41] Sent heartbeat (0)
[21:31:42] Sent heartbeat (0)
[21:31:43] Sent heartbeat (0)
[21:31:44] Sent heartbeat (0)
[21:31:45] Sent heartbeat (0)
[21:31:46] Sent heartbeat (0)
[21:31:47] Sent heartbeat (0)
[21:31:48] Sent heartbeat (0)
[21:31:49] Sent heartbeat (0)
[21:31:50] Sent heartbeat (0)
[21:31:51] Sent heartbeat (0)
[21:31:52] Sent heartbeat (0)
[21:31:53] Sent heartbeat (0)
[21:31:54] Sent heartbeat (0)
[21:31:55] Sent heartbeat (0)
[21:31:56] Sent heartbeat (0)
[21:31:57] Sent heartbeat (0)
[21:31:58] Sent heartbeat (0)
[21:31:59] Sent heartbeat (0)
[21:32:00] Sent heartbeat (0)
[21:32:01] Sent heartbeat (0)
[21:32:02] Sent heartbeat (0)
[21:32:03] Sent heartbeat (0)
[21:32:04] Sent heartbeat (0)
[21:32:05] Sent heartbeat (0)
[21:32:06] Sent heartbeat (0)
[21:32:07] Sent heartbeat (0)
[21:32:08] Sent heartbeat (0)
[21:32:09] Sent heartbeat (0)
[21:32:10] Sent heartbeat (0)
[21:32:11] Sent heartbeat (0)
[21:32:12] Sent heartbeat (0)
[21:32:13] Sent heartbeat (0)
[21:32:14] Sent heartbeat (0)
[21:32:15] Sent heartbeat (0)
[21:32:16] Sent heartbeat (0)
[21:32:17] Sent heartbeat (0)
[21:32:18] Sent heartbeat (0)
[21:32:19] Sent heartbeat (0)
[21:32:20] Sent heartbeat (0)
[21:32:21] Sent heartbeat (0)
[21:32:22] Sent heartbeat (0)
[21:32:23] Sent heartbeat (0)
[21:32:24] Sent heartbeat (0)
[21:32:25] Sent heartbeat (0)
[21:32:26] Sent heartbeat (0)
[21:32:27] Sent heartbeat (0)
[21:32:28] Sent heartbeat (0)
[21:32:29] Sent heartbeat (0)
[21:32:30] Sent heartbeat (0)
[21:32:31] Sent heartbeat (0)
[21:32:32] Sent heartbeat (0)
[21:32:33] Sent heartbeat (0)
[21:32:34] Sent heartbeat (0)
[21:32:35] Sent heartbeat (0)
[21:32:36] Sent heartbeat (0)
[21:32:37] Sent heartbeat (0)
[21:32:38] Sent heartbeat (0)
[21:32:39] Sent heartbeat (0)
[21:32:40] Sent heartbeat (0)
[21:32:41] Sent heartbeat (0)
[21:32:42] Sent heartbeat (0)
[21:32:43] Sent heartbeat (0)
[21:32:44] Sent heartbeat (0)
[21:32:45] Sent heartbeat (0)
[21:32:46] Sent heartbeat (0)
[21:32:47] Sent heartbeat (0)
[21:32:48] Sent heartbeat (0)
[21:32:49] Sent heartbeat (0)
[21:32:50] Sent heartbeat (0)
[21:32:51] Sent heartbeat (0)
[21:32:52] Sent heartbeat (0)
[21:32:53] Sent heartbeat (0)
[21:32:54] Sent heartbeat (0)
[21:32:55] Sent heartbeat (0)
[21:32:56] Sent heartbeat (0)
[21:32:57] Sent heartbeat (0)
[21:32:58] Sent heartbeat (0)
[21:32:59] Sent heartbeat (0)
[21:33:00] Sent heartbeat (0)
[21:33:01] Sent heartbeat (0)
[21:33:02] Sent heartbeat (0)
[21:33:03] Sent heartbeat (0)
[21:33:04] Sent heartbeat (0)
[21:33:05] Sent heartbeat (0)
[21:33:06] Sent heartbeat (0)
[21:33:07] Sent heartbeat (0)
[21:33:08] Sent heartbeat (0)
[21:33:09] Sent heartbeat (0)
[21:33:10] Sent heartbeat (0)
[21:33:11] Sent heartbeat (0)
[21:33:12] Sent heartbeat (0)
[21:33:13] Sent heartbeat (0)
[21:33:14] Sent heartbeat (0)
[21:33:15] Sent heartbeat (0)
[21:33:16] Sent heartbeat (0)
[21:33:17] Sent heartbeat (0)
[21:33:18] Sent heartbeat (0)
[21:33:19] Sent heartbeat (0)
[21:33:20] Sent heartbeat (0)
[21:33:21] Sent heartbeat (0)
[21:33:22] Sent heartbeat (0)
[21:33:23] Sent heartbeat (0)
[21:33:24] Sent heartbeat (0)
[21:33:25] Sent heartbeat (0)
[21:33:26] Sent heartbeat (0)
[21:33:27] Sent heartbeat (0)
[21:33:28] Sent heartbeat (0)
[21:33:29] Sent heartbeat (0)
[21:33:30] Sent heartbeat (0)
[21:33:31] Sent heartbeat (0)
[21:33:32] Sent heartbeat (0)
[21:33:33] Sent heartbeat (0)
[21:33:34] Sent heartbeat (0)
[21:33:35] Sent heartbeat (0)
[21:33:36] Sent heartbeat (0)
[21:33:37] Sent heartbeat (0)
[21:33:38] Sent heartbeat (0)
[21:33:39] Sent heartbeat (0)
[21:33:40] Sent heartbeat (0)
[21:33:41] Sent heartbeat (0)
[21:33:42] Sent heartbeat (0)
[21:33:43] Sent heartbeat (0)
[21:33:44] Sent heartbeat (0)
[21:33:45] Sent heartbeat (0)
[21:33:46] Sent heartbeat (0)
[21:33:47] Sent heartbeat (0)
[21:33:48] Sent heartbeat (0)
[21:33:49] Sent heartbeat (0)
[21:33:50] Sent heartbeat (0)
[21:33:51] Sent heartbeat (0)
[21:33:52] Sent heartbeat (0)
[21:33:53] Sent heartbeat (0)
[21:33:54] Sent heartbeat (0)
[21:33:55] Sent heartbeat (0)
[21:33:56] Sent heartbeat (0)
[21:33:57] Sent heartbeat (0)
[21:33:58] Sent heartbeat (0)
[21:33:59] Sent heartbeat (0)
[21:34:00] Sent heartbeat (0)
[21:34:01] Sent heartbeat (0)
[21:34:02] Sent heartbeat (0)
[21:34:03] Sent heartbeat (0)
[21:34:04] Sent heartbeat (0)
[21:34:05] Sent heartbeat (0)
[21:34:06] Sent heartbeat (0)
[21:34:07] Sent heartbeat (0)
[21:34:08] Sent heartbeat (0)
[21:34:09] Sent heartbeat (0)
[21:34:10] Sent heartbeat (0)
[21:34:11] Sent heartbeat (0)
[21:34:12] Sent heartbeat (0)
[21:34:13] Sent heartbeat (0)
[21:34:14] Sent heartbeat (0)
[21:34:15] Sent heartbeat (0)
[21:34:16] Sent heartbeat (0)
[21:34:17] Sent heartbeat (0)
[21:34:18] Sent heartbeat (0)
[21:34:19] Sent heartbeat (0)
[21:34:20] Sent heartbeat (0)
[21:34:21] Sent heartbeat (0)
[21:34:22] Sent heartbeat (0)
[21:34:23] Sent heartbeat (0)
[21:34:24] Sent heartbeat (0)
[21:34:25] Sent heartbeat (0)
[21:34:26] Sent heartbeat (0)
[21:34:27] Sent heartbeat (0)
[21:34:28] Sent heartbeat (0)
[21:34:29] Sent heartbeat (0)
[21:34:30] Sent heartbeat (0)
[21:34:31] Sent heartbeat (0)
[21:34:32] Sent heartbeat (0)
[21:34:33] Sent heartbeat (0)
[21:34:34] Sent heartbeat (0)
[21:34:35] Sent heartbeat (0)
[21:34:36] Sent heartbeat (0)
[21:34:37] Sent heartbeat (0)
[21:34:38] Sent heartbeat (0)
[21:34:39] Sent heartbeat (0)
[21:34:40] Sent heartbeat (0)
[21:34:41] Sent heartbeat (0)
[21:34:42] Sent heartbeat (0)
