[17:44:01] UDP debugger initialized OK
[17:46:46] Sent heartbeat (0)
[17:46:47] Sent heartbeat (0)
[17:46:48] Sent heartbeat (0)
[17:46:49] Sent heartbeat (0)
[17:46:50] Sent heartbeat (0)
[17:46:51] Sent heartbeat (0)
[17:46:52] Sent heartbeat (0)
[17:46:53] Sent heartbeat (0)
[17:46:54] Sent heartbeat (0)
[17:46:55] Sent heartbeat (0)
[17:46:56] Sent heartbeat (0)
[17:46:57] Sent heartbeat (0)
[17:46:58] Sent heartbeat (0)
[17:46:59] Sent heartbeat (0)
[17:47:00] Sent heartbeat (0)
[17:47:01] Sent heartbeat (0)
[17:47:02] Sent heartbeat (0)
[17:47:03] Sent heartbeat (0)
[17:47:04] Sent heartbeat (0)
[17:47:05] Sent heartbeat (0)
[17:47:06] Sent heartbeat (0)
[17:47:07] Sent heartbeat (0)
[17:47:08] Sent heartbeat (0)
[17:47:09] Sent heartbeat (0)
[17:47:10] Sent heartbeat (0)
[17:47:11] Sent heartbeat (0)
[17:47:12] Sent heartbeat (0)
[17:47:13] Sent heartbeat (0)
[17:47:14] Sent heartbeat (0)
[17:47:15] Sent heartbeat (0)
[17:47:16] Sent heartbeat (0)
[17:47:17] Sent heartbeat (0)
[17:47:18] Sent heartbeat (0)
[17:47:19] Sent heartbeat (0)
[17:47:20] Sent heartbeat (0)
[17:47:21] Sent heartbeat (0)
[17:47:22] Sent heartbeat (0)
[17:47:23] Sent heartbeat (0)
[17:47:24] Sent heartbeat (0)
[17:47:25] Sent heartbeat (0)
[17:47:26] Sent heartbeat (0)
[17:47:27] Sent heartbeat (0)
[17:47:28] Sent heartbeat (0)
[17:47:29] Sent heartbeat (0)
[17:47:30] Sent heartbeat (0)
[17:47:31] New state read (3).
[17:47:31] Armed
[17:47:31] Started logging
[17:47:31] Sent heartbeat (3)
[17:47:31] [0.0642590522766] Data read
[17:47:31] [0.0748829841614] Data read
[17:47:31] [0.0868351459503] Data read
[17:47:31] [0.0986621379852] Data read
[17:47:31] [0.11101102829] Data read
[17:47:31] [0.122871160507] Data read
[17:47:31] [0.134854078293] Data read
[17:47:31] [0.146823167801] Data read
[17:47:31] [0.159157991409] Data read
[17:47:31] [0.170815944672] Data read
[17:47:31] [0.182712078094] Data read
[17:47:31] [0.194625139236] Data read
[17:47:31] [0.206624984741] Data read
[17:47:31] [0.21821808815] Data read
[17:47:31] [0.230674982071] Data read
[17:47:31] [0.242542028427] Data read
[17:47:31] [0.254999160767] Data read
[17:47:31] [0.266572952271] Data read
[17:47:31] [0.278495073318] Data read
[17:47:31] [0.290399074554] Data read
[17:47:31] [0.302891016006] Data read
[17:47:31] [0.31423997879] Data read
[17:47:31] [0.326813936234] Data read
[17:47:31] [0.338124036789] Data read
[17:47:31] [0.350669145584] Data read
[17:47:31] [0.363830089569] Data read
[17:47:31] [0.374581098557] Data read
[17:47:31] [0.385982036591] Data read
[17:47:31] [0.398468017578] Data read
[17:47:31] [0.410321950912] Data read
[17:47:31] [0.42270898819] Data read
[17:47:31] [0.434038162231] Data read
[17:47:31] [0.446612119675] Data read
[17:47:31] [0.457890987396] Data read
[17:47:31] [0.470675945282] Data read
[17:47:31] [0.481960058212] Data read
[17:47:31] [0.494663953781] Data read
[17:47:31] [0.506078958511] Data read
[17:47:31] [0.518381118774] Data read
[17:47:31] [0.529685020447] Data read
[17:47:31] [0.542545080185] Data read
[17:47:31] [0.554038047791] Data read
[17:47:31] [0.566301107407] Data read
[17:47:31] [0.577604055405] Data read
[17:47:31] [0.590167045593] Data read
[17:47:31] [0.602070093155] Data read
[17:47:31] [0.614418983459] Data read
[17:47:31] [0.625843048096] Data read
[17:47:31] [0.638296127319] Data read
[17:47:32] [0.649652957916] Data read
[17:47:32] [0.661987066269] Data read
